ID,Upvotes,Submission Date,Status,est_dev_time_days,complexity_score,num_teams_required,resource_cost_usd,infra_dependencies_count,tech_risk_score,design_effort_days,qa_effort_days,deployment_complexity,integration_needed,business_impact_score,user_demand_score,customer_satisfaction_impact,time_saved_per_user_minutes,num_users_impacted,market_differentiation_score,revenue_potential_usd,cost_savings_usd,scalability_potential_score,feature_adoption_likelihood,aligns_with_okrs,supports_key_initiative,compliance_or_regulatory_benefit,innovation_score,executive_priority_flag,strategic_timeline_alignment,mission_critical_flag,long_term_value_score,Title,Description,Cost_Score,ROI_Score,SA_Score
f7121191-cbbf-4f74-8256-024ea3987b2c,343,2024-05-17,On Hold,34,1,3,156494,4,1,11,21,High,False,9,4,1,16,12632,3,187616,94003,1,3,True,Automation,True,5,True,False,False,2,Zero-Touch Purpose System,Zero-Touch Purpose System is focused on enhancing automation and intelligent decision-making. It delivers tangible business value by embedding innovation in the AI ecosystem through intelligent tooling or insights.,0.3997213005676591,0.2614090049389168,0.6290004401146392
a39a9628-4938-4ccf-9f15-122aed064631,199,2025-01-16,On Hold,80,2,3,175066,2,3,24,40,Low,True,4,5,1,13,78068,2,455805,61626,3,3,False,,True,4,True,False,True,5,Cloud-Based Ago Analyzer,Cloud-Based Ago Analyzer is focused on optimizing infrastructure and cloud costs. It delivers tangible business value by embedding innovation in the Cloud ecosystem through intelligent tooling or insights.,0.6336663756083648,0.3698671175055367,0.6405189910131297
e2eb83ea-cf0f-48d0-b688-70f646ff514a,262,2024-07-08,Completed,23,3,3,69152,2,5,14,39,Low,False,6,8,2,48,88654,3,843611,442412,5,4,False,Sustainability,False,5,False,True,True,1,Intelligent Face Bot,Intelligent Face Bot is focused on streamlining CI/CD and deployment processes. It delivers tangible business value by embedding innovation in the DevOps ecosystem through intelligent tooling or insights.,0.4270725509512707,0.7735515603510605,0.5172704219418625
356a87f2-1297-4740-8dd2-9c2fc687630d,129,2024-05-28,On Hold,13,4,1,98541,4,2,29,43,High,False,3,9,1,39,1815,2,966435,293018,4,4,False,Sustainability,False,2,True,True,False,5,AI-Powered Dog System,AI-Powered Dog System is focused on reducing manual workload through smart automation. It delivers tangible business value by embedding innovation in the Automation ecosystem through intelligent tooling or insights.,0.5353218574401067,0.5219425074157156,0.5045695970494459
d20030cb-2356-4234-8358-2c3e87e902dc,365,2024-05-13,On Hold,27,2,3,78405,5,2,21,30,High,False,1,5,4,20,61501,4,111350,332805,4,1,False,,False,5,False,True,True,3,Predictive Since Agent,Predictive Since Agent is focused on improving compliance and threat detection. It delivers tangible business value by embedding innovation in the Security ecosystem through intelligent tooling or insights.,0.4528317612242423,0.4209804270884809,0.4160646570002752
9e0faf05-f1b8-41bd-98a9-71ccb5a86864,24,2025-01-16,Completed,156,5,3,23653,4,4,14,38,Low,False,8,10,2,20,83980,2,737125,443488,1,1,True,Automation,True,1,False,False,False,3,AI-Powered Require Assistant,AI-Powered Require Assistant is focused on optimizing infrastructure and cloud costs. It delivers tangible business value by embedding innovation in the Cloud ecosystem through intelligent tooling or insights.,0.5779683310188156,0.6113535068907581,0.4337906990726928
909ec60f-f3ac-45f4-a583-88e30d93b5f2,231,2024-11-01,In Progress,117,3,3,60005,1,1,19,39,Medium,False,4,5,5,30,70432,2,259515,249438,4,2,True,,False,3,True,True,False,1,Automated Wait Bot,Automated Wait Bot is focused on reducing manual workload through smart automation. It delivers tangible business value by embedding innovation in the Automation ecosystem through intelligent tooling or insights.,0.4692546555567106,0.4833516424582942,0.4923018768385976
f7004f49-4210-42ad-8286-a69f830ec602,90,2024-11-19,In Progress,18,3,2,176592,0,5,8,14,High,False,3,8,1,25,67544,1,740622,350175,5,3,True,,False,4,False,False,False,2,Smart Begin Bot,Smart Begin Bot is focused on streamlining CI/CD and deployment processes. It delivers tangible business value by embedding innovation in the DevOps ecosystem through intelligent tooling or insights.,0.3768680474266451,0.5556611231535923,0.3228257577561954
82f6bef0-7721-40ef-93f0-ea3fdb008c93,104,2024-04-16,In Progress,101,2,3,33767,4,1,16,39,Low,True,6,5,4,46,40627,3,217125,11826,2,5,False,Sustainability,True,2,True,False,False,4,Zero-Touch Knowledge Analyzer,Zero-Touch Knowledge Analyzer is focused on improving compliance and threat detection. It delivers tangible business value by embedding innovation in the Security ecosystem through intelligent tooling or insights.,0.4631489257515657,0.4188843356463715,0.3548301510112756
1e3af5f9-8855-4d5c-9c12-1f5894ed7d36,441,2024-05-10,In Progress,50,1,2,57332,3,3,26,30,Medium,True,5,6,4,50,61312,4,50986,186605,3,5,True,Automation,True,5,False,False,True,3,Smart All Analyzer,Smart All Analyzer is focused on enhancing automation and intelligent decision-making. It delivers tangible business value by embedding innovation in the AI ecosystem through intelligent tooling or insights.,0.4346856854014295,0.5206480576125843,0.5824275765010377
