ID,Title,Cost_Score,ROI_Score,SA_Score
f7121191-cbbf-4f74-8256-024ea3987b2c,Zero-Touch Purpose System,0.399721301,0.261409005,0.62900044
a39a9628-4938-4ccf-9f15-122aed064631,Cloud-Based Ago Analyzer,0.633666376,0.369867118,0.640518991
e2eb83ea-cf0f-48d0-b688-70f646ff514a,Intelligent Face Bot,0.427072551,0.77355156,0.517270422
356a87f2-1297-4740-8dd2-9c2fc687630d,AI-Powered Dog System,0.535321857,0.521942507,0.504569597
d20030cb-2356-4234-8358-2c3e87e902dc,Predictive Since Agent,0.452831761,0.420980427,0.416064657
9e0faf05-f1b8-41bd-98a9-71ccb5a86864,AI-Powered Require Assistant,0.577968331,0.611353507,0.433790699
909ec60f-f3ac-45f4-a583-88e30d93b5f2,Automated Wait Bot,0.469254656,0.483351642,0.492301877
f7004f49-4210-42ad-8286-a69f830ec602,Smart Begin Bot,0.376868047,0.555661123,0.322825758
82f6bef0-7721-40ef-93f0-ea3fdb008c93,Zero-Touch Knowledge Analyzer,0.463148926,0.418884336,0.354830151
1e3af5f9-8855-4d5c-9c12-1f5894ed7d36,Smart All Analyzer,0.434685685,0.520648058,0.582427577
850b3732-8b15-40e0-b2d3-26dab13275c4,Self-Healing Discover Agent,0.49941886,0.678135139,0.431727919
2edebc32-8b23-40b8-bda4-e73f1e34b46a,Self-Healing Mouth Service,0.506888013,0.440197507,0.28803737
7445209c-df21-434b-ab3b-da13d0b152c4,Self-Healing Agreement Bot,0.486729769,0.2994904,0.425108281
cabefc24-edc4-4960-9812-028990fd9518,Intelligent Decide Platform,0.327521097,0.343553567,0.498064051
4e0059ff-2360-465d-8977-2b3a8d333f68,Smart Rate Bot,0.624624344,0.533198692,0.397024829
fafea41f-c952-4f5e-b858-03a3285037c6,AI-Powered Offer Dashboard,0.483646443,0.620421483,0.471440229
6376a712-754c-420a-9676-bab9c784ace1,Automated Discussion Manager,0.579062941,0.484668112,0.384879231
9ebf2741-a4ab-48f9-b151-1e38e97934e1,Automated Perform Bot,0.687219571,0.516446923,0.460955558
219f4eed-bd40-4c93-b9f2-e73b5ade7eba,Intelligent Table System,0.651999805,0.507797693,0.596193969
eb06f3bb-a352-4437-8c4f-a6fc8f9efacd,Intelligent According Agent,0.782163107,0.45910642,0.367730319
0e729548-a703-4647-8192-753996a4554e,AI-Powered Sure System,0.69460954,0.548577242,0.607628769
e6ca2aa1-5d82-4844-8e02-8281c122b03a,AI-Powered Save Bot,0.468512805,0.519596026,0.290251514
bde3f490-38e9-4459-a738-ed277df13948,Self-Healing Grow Manager,0.497295456,0.554361323,0.502908671
4cb28ad2-b68f-443d-bc01-2e04f6df3788,Cloud-Based Clearly Assistant,0.408146493,0.406919508,0.508500888
219d39e4-2463-46ad-a9c5-8463d3f5c8e0,AI-Powered Source Assistant,0.709254866,0.46024356,0.490080356
830a9224-50b5-4f42-8b99-d193907c8828,Automated Blue Dashboard,0.509276441,0.324704294,0.28197461
2aefcb74-f8d1-43f9-84bb-ca4f93322cc0,Zero-Touch Husband Dashboard,0.508527218,0.577363988,0.259908238
8e7de616-52e2-4898-ba33-20111e6b13b0,AI-Powered Her Analyzer,0.578395116,0.526476587,0.604098483
32030696-a1c7-434f-a86f-655b7d66f87e,Cloud-Based Guy Dashboard,0.386997901,0.481228838,0.534233351
a84cdcdb-06ce-4477-b0d1-82633585fb04,Predictive Everything Analyzer,0.503568225,0.539346647,0.408572376
26cbf5fc-b57d-4013-93ea-5d5ea84713f4,Predictive Animal System,0.647597377,0.673856203,0.435642079
df916e7f-7f29-4ead-8c92-f94de2a438fc,Cloud-Based Machine Manager,0.636292577,0.506156731,0.53512471
ab947c09-5251-4aa6-b0ec-02a911736b1a,Automated Capital Analyzer,0.463030947,0.406543025,0.404723233
f146f68c-ca1d-4648-aeeb-7772bf82515c,Zero-Touch Human Bot,0.416396812,0.496463829,0.253799079
c0ed0408-0ac3-4df1-b857-fcde0956e0f7,Zero-Touch Old System,0.24596735,0.562830517,0.322935165
de076137-22ab-4669-9cf0-9578a51e2bcb,Intelligent Themselves Service,0.447685195,0.564417291,0.464822424
1258b1e9-daa6-4e2d-a15e-d29a93b71b4a,Smart Present Dashboard,0.50893094,0.45366767,0.531310632
a29674e3-b4de-49e2-9061-cf340a4c6983,Automated Training Optimizer,0.624312264,0.526769582,0.744925801
d9889053-549d-4f95-9f80-812062fc5f62,Automated Participant Bot,0.463265897,0.359777739,0.690055634
652a01fe-bb78-4f8c-952d-9c078b42c59d,AI-Powered Sea Platform,0.552204369,0.554410804,0.239799993
4901bfd0-7718-457c-a6fe-7f7facccd4d7,Cloud-Based Answer Dashboard,0.45146776,0.430572451,0.368624674
755685df-1688-4d3f-9887-9570093ad074,Automated Drive Dashboard,0.624518117,0.597628409,0.447354675
c44169a0-8c93-4042-9345-9ca21d1dbe9f,Zero-Touch Figure Analyzer,0.416034075,0.501363609,0.775616062
cc0cd3f9-8954-4d98-8d30-bb93c644127d,Smart Top System,0.421190168,0.477181357,0.604815725
634655a4-1788-4f3b-b3e1-524f2df42fc8,Automated Trial System,0.645400276,0.628892078,0.591166899
368021bf-733c-45bf-a89c-51251f410ae1,Smart Husband Service,0.519317805,0.555631924,0.480100759
5b4a4932-1438-4dd5-92f9-d4778f66e739,Predictive Long Platform,0.34865551,0.455837087,0.533951977
3ee5c6cd-c367-4e37-916e-6cbdc326f9c2,Self-Healing They Bot,0.394023092,0.457415662,0.522750063
27976f2b-30c8-4747-b130-f76f4325b82c,Predictive Commercial System,0.592297621,0.535536287,0.409622303
54cee994-5902-41e1-bc43-240ca4ceed63,Zero-Touch Hear Service,0.545506144,0.380285098,0.520446832
0374a2dc-ce10-465a-a2f9-408c40cd8982,Cloud-Based Religious Optimizer,0.58344958,0.588898776,0.572424781
d8fb5954-e5ea-4ee7-bdd6-3b0f4e3a7683,Cloud-Based Science Optimizer,0.64633717,0.290008153,0.370098413
d6d4b261-204d-4bf8-bf42-857fb51324b6,Self-Healing Result Assistant,0.464919431,0.668171923,0.516294448
cbc6e32e-ec2f-485f-a1d1-09530230e5e7,Automated Away Agent,0.355707159,0.475114693,0.250008201
897217f3-e728-4aee-aa09-0c5ed3cabe0f,Predictive Prove Platform,0.474948131,0.47093329,0.389016502
638e4792-f888-4f89-b8fa-1cff92258b1d,Cloud-Based None Dashboard,0.595162363,0.579945044,0.607628769
d96f6dd4-2e96-4ba0-a4e3-83458afd1dab,Smart Election System,0.534319358,0.456794734,0.508991509
24c11308-b284-4921-8bb6-0adc52fe958a,Automated Maintain System,0.408600501,0.727014488,0.391839484
a4e0d018-e636-4d43-a019-0c8ff6b08d40,Automated Expect Manager,0.417151681,0.675395795,0.375869102
9ee262ba-88ea-43f3-8dd0-d07de9ea2f2b,Zero-Touch Push Bot,0.522801825,0.47881254,0.337502057
7415ec06-93ad-4d0a-9291-18e2bbff65d7,Smart Onto System,0.670933633,0.416930533,0.486081345
829ce181-1d28-4983-8372-941eb2d4defd,Predictive Reveal Bot,0.63582579,0.447985135,0.587810576
ba523632-4a61-434a-8fee-7ef958678436,Predictive Threat Analyzer,0.540945306,0.607199997,0.607165921
58881187-563d-4614-8fa7-2bcd59f7d272,Predictive Stand Bot,0.419602462,0.499376012,0.540095288
0bd89cf4-0ac3-4cbe-9558-41843bdd30a9,Cloud-Based Drop System,0.690247332,0.508374834,0.42088375
a00c9f07-4c21-47ae-a76e-5e54e2c80d47,Zero-Touch Almost System,0.445407624,0.476416165,0.533654786
05782660-7b13-4a96-ba84-12cda84dfb72,Intelligent Four System,0.550141191,0.256121729,0.461150263
06622f22-987a-480b-80b8-1fbd429dcf99,Self-Healing Executive Optimizer,0.336377698,0.557183913,0.383419328
e3df14b7-ba2d-4773-91fc-9b2a3a5f4944,Intelligent Development Manager,0.508260261,0.618616442,0.359816252
6a3334b5-f6e7-4b00-88ad-1f4e0a309132,Automated Yes Agent,0.605448299,0.501881102,0.54031305
6844ba44-0b5e-4cdc-bf69-4f67e81b0580,Self-Healing Under Assistant,0.522801857,0.517574973,0.203836663
cba3b1f0-6e31-45e4-aa39-4a714352fb6e,Cloud-Based Forward Manager,0.49471641,0.451998818,0.347753844
0a451d7a-bb8f-4c2c-af4c-03858ca0a233,Cloud-Based Reality System,0.453518182,0.456407348,0.426107545
b0707745-b419-4abc-b18e-66eff08c74b5,Smart Individual Service,0.433520321,0.67695627,0.55542439
bf81982e-d5b5-4715-8ea5-886f5d32ba00,Intelligent Who Bot,0.363947202,0.581594588,0.471351143
f978f9de-5315-498a-8acd-2f805d8f66e6,Smart Low Optimizer,0.600090681,0.424941719,0.556997678
6e567ef7-757a-425a-9a0a-72ca6b6af02f,Intelligent Evidence Platform,0.652019003,0.529477662,0.474993714
9c3e97f3-b1c8-4f91-a8de-3cd2c6a818d8,Cloud-Based Employee Assistant,0.381402762,0.609365075,0.422731096
85ae3fe3-7682-45e7-a8ca-c78be0a0b1d7,Predictive Option Dashboard,0.340547172,0.56155792,0.386217722
a56608ca-08d6-4f27-b907-231bb6271ac3,Intelligent Everyone Analyzer,0.359525208,0.651382904,0.58782484
3d02b549-da49-4339-a703-870c1740bec7,Intelligent Pattern System,0.48059578,0.566562831,0.483721291
6e762a81-f7cb-4527-acd7-adf6f34b3cf4,Intelligent Water Optimizer,0.426500545,0.449265942,0.394371344
e2f8afc2-d1b1-4471-b00c-2d31ab6d3504,Smart Inside Bot,0.407688241,0.52139582,0.734021543
0ab89365-cca7-4cb6-b54c-8ab207b2ab0f,Automated Discuss Assistant,0.429205904,0.469838654,0.415471556
539b57e9-b121-4fbc-b53a-88e7ef57cd66,Automated Mr Analyzer,0.472250706,0.462614269,0.359454337
fdf3bbb9-bdff-4f78-849e-c394873f8abb,Predictive Benefit Assistant,0.541254418,0.397330133,0.545754703
25a767bf-4610-441f-9caf-2bdc359d53dc,Automated Anyone Service,0.329398455,0.328135552,0.317804947
5572497e-9ef6-4bc4-a593-50e73b586dd3,Predictive Break System,0.338876238,0.570840152,0.619307364
c810802c-41d4-4ba1-a209-3cda14b12fce,AI-Powered Product Analyzer,0.348936082,0.496716456,0.464291218
167e517e-a7c8-4f97-a114-da8bded8799b,Automated Structure Dashboard,0.601516815,0.291385626,0.525588916
d58ca903-028a-400b-9953-4f1f833a2d3d,Zero-Touch Knowledge Assistant,0.496275317,0.412382996,0.497284711
91895309-4582-4a02-9c4e-cd8590045605,Self-Healing Attack Assistant,0.444198393,0.419333463,0.32354593
da93f293-d782-4dc4-982d-9956e9fcbec6,Predictive I System,0.378057425,0.657731613,0.521831998
4b6e51c6-1e39-45f5-99f4-fa965f4e44b1,Predictive Management Platform,0.497432202,0.56036531,0.20901884
0af516a7-25e1-4aa9-8fd6-207c069a856c,Self-Healing Enter Platform,0.274061815,0.547733313,0.405697199
5f8492e7-2950-41b3-a98b-b05cf4e79114,Cloud-Based Traditional Manager,0.455235431,0.59983175,0.561903806
99c967ac-3b8c-46df-82ac-322e02b6a588,Cloud-Based Response Analyzer,0.348356663,0.688098176,0.482764075
d2f278d9-33ec-4eb7-b7c6-be235f6e1d1f,Self-Healing Building Bot,0.518430736,0.457345699,0.49245754
4c10c182-2d5e-492f-8f12-d061f66c248c,Self-Healing Value Bot,0.566718401,0.353855112,0.551493678
251dafa7-ec6b-40c4-a490-f05503a14849,AI-Powered Social Bot,0.668787842,0.419828861,0.337361644
1413a051-9356-4182-ab10-04ba97726298,AI-Powered Specific Manager,0.524883653,0.621843297,0.361917802
18ef6486-ade9-48b1-96a4-7c9208cf217c,AI-Powered Grow Bot,0.567145338,0.729682458,0.607006671
562932ed-06d0-47df-8598-14c72815c2b4,Cloud-Based Finally System,0.530137892,0.494436796,0.518667844
05b9bb66-1275-4103-8ee4-dffbe21f2902,Smart Coach Dashboard,0.674241949,0.452409411,0.226377865
7262df0b-d284-42e2-ba31-f5429962c4df,Zero-Touch About Assistant,0.478881151,0.542521555,0.619596543
f1f2c804-3fbe-42bc-bf32-80ae8bf2ffdd,Cloud-Based Type Platform,0.641670133,0.458004477,0.718579894
031da409-ed42-40b9-9713-bf641260e4a1,Automated Everyone Analyzer,0.516484457,0.347621635,0.455537566
31e82bf9-fa7f-45f3-b6fb-5fea9e2c6388,Intelligent Sound Analyzer,0.545800534,0.613063835,0.336864836
c3f6774c-983e-4c0a-9ae3-db096d880428,Predictive Movement Service,0.591932206,0.575005262,0.701641616
68a8113f-57fd-4022-842c-0c4a6e227f2c,Self-Healing Born Service,0.596823211,0.44923854,0.691191333
126f585d-260d-4730-903e-3faf08abef9a,AI-Powered Process Agent,0.431867893,0.524692094,0.623519639
d2e0b5ce-800e-4591-8787-e63b49b03579,Intelligent Thought Bot,0.600420677,0.370018097,0.447272916
4022a7b7-1e77-44d3-a8b0-e8a576bb921f,Cloud-Based Movement Manager,0.50283466,0.55266844,0.516051433
1ae89463-78ec-42a2-9269-d7595cbe702a,Self-Healing Decide Agent,0.333143701,0.387611133,0.642220186
985866b2-8585-4f7c-8eb8-cbfd889b92ce,AI-Powered Hour Assistant,0.564842425,0.414203581,0.2722724
10f980b0-a895-4507-a1e3-db7ace470907,Automated Color Agent,0.453139545,0.655037997,0.312526657
3973c75d-0549-4329-a780-4cdf772c96fd,AI-Powered Start Service,0.651849505,0.570915026,0.690999509
